Relation,Support
adversative-antithesis,380
adversative-concession,740
adversative-contrast,421
attribution-negative,82
attribution-positive,1339
causal-cause,549
causal-result,405
context-background,1042
context-circumstance,924
contingency-condition,423
elaboration-additional,2246
elaboration-attribute,2132
evaluation-comment,904
explanation-evidence,662
explanation-justify,477
explanation-motivation,222
joint-disjunction,177
joint-list,2062
joint-other,1125
joint-sequence,1169
mode-manner,255
mode-means,152
organization-heading,369
organization-phatic,688
organization-preparation,658
purpose-attribute,288
purpose-goal,499
restatement-partial,380
restatement-repetition,376
same-unit,1222
topic-question,365
topic-solutionhood,78
